time,sum,num of triangles,threads,matrix
0.037211,14520,2420,1,belgium_osm.mtx
0.037559,14520,2420,1,belgium_osm.mtx
0.036970,14520,2420,1,belgium_osm.mtx
0.023597,14520,2420,2,belgium_osm.mtx
0.028001,14520,2420,2,belgium_osm.mtx
0.023639,14520,2420,2,belgium_osm.mtx
0.012981,14520,2420,4,belgium_osm.mtx
0.013173,14520,2420,4,belgium_osm.mtx
0.015043,14520,2420,4,belgium_osm.mtx
0.008933,14520,2420,8,belgium_osm.mtx
0.008993,14520,2420,8,belgium_osm.mtx
0.009795,14520,2420,8,belgium_osm.mtx
0.010650,14520,2420,16,belgium_osm.mtx
0.010220,14520,2420,16,belgium_osm.mtx
0.008918,14520,2420,16,belgium_osm.mtx
0.011144,14520,2420,32,belgium_osm.mtx
0.010372,14520,2420,32,belgium_osm.mtx
0.010910,14520,2420,32,belgium_osm.mtx
0.013420,14520,2420,64,belgium_osm.mtx
0.012884,14520,2420,64,belgium_osm.mtx
0.011092,14520,2420,64,belgium_osm.mtx
0.022278,14520,2420,256,belgium_osm.mtx
0.020837,14520,2420,256,belgium_osm.mtx
0.018542,14520,2420,256,belgium_osm.mtx
0.060493,14520,2420,1024,belgium_osm.mtx
0.051373,14520,2420,1024,belgium_osm.mtx
0.047694,14520,2420,1024,belgium_osm.mtx
83.722782,18338316,3056386,1,com-Youtube.mtx
84.193542,18338316,3056386,1,com-Youtube.mtx
86.555952,18338316,3056386,1,com-Youtube.mtx
80.871603,18338316,3056386,2,com-Youtube.mtx
79.060403,18338316,3056386,2,com-Youtube.mtx
78.982946,18338316,3056386,2,com-Youtube.mtx
79.431787,18338316,3056386,4,com-Youtube.mtx
79.795262,18338316,3056386,4,com-Youtube.mtx
81.094751,18338316,3056386,4,com-Youtube.mtx
77.636636,18338316,3056386,8,com-Youtube.mtx
78.204592,18338316,3056386,8,com-Youtube.mtx
77.699852,18338316,3056386,8,com-Youtube.mtx
67.685823,18338316,3056386,16,com-Youtube.mtx
67.858427,18338316,3056386,16,com-Youtube.mtx
66.750260,18338316,3056386,16,com-Youtube.mtx
62.063528,18338316,3056386,32,com-Youtube.mtx
63.963135,18338316,3056386,32,com-Youtube.mtx
66.043127,18338316,3056386,32,com-Youtube.mtx
56.415377,18338316,3056386,64,com-Youtube.mtx
56.783714,18338316,3056386,64,com-Youtube.mtx
57.172835,18338316,3056386,64,com-Youtube.mtx
48.621375,18338316,3056386,256,com-Youtube.mtx
48.643415,18338316,3056386,256,com-Youtube.mtx
48.603295,18338316,3056386,256,com-Youtube.mtx
40.926487,18338316,3056386,1024,com-Youtube.mtx
40.581678,18338316,3056386,1024,com-Youtube.mtx
40.534465,18338316,3056386,1024,com-Youtube.mtx
0.392048,10059912,1676652,1,dblp-2010.mtx
0.409865,10059912,1676652,1,dblp-2010.mtx
0.390294,10059912,1676652,1,dblp-2010.mtx
0.222546,10059912,1676652,2,dblp-2010.mtx
0.223150,10059912,1676652,2,dblp-2010.mtx
0.214177,10059912,1676652,2,dblp-2010.mtx
0.197013,10059912,1676652,4,dblp-2010.mtx
0.190490,10059912,1676652,4,dblp-2010.mtx
0.173730,10059912,1676652,4,dblp-2010.mtx
0.111640,10059912,1676652,8,dblp-2010.mtx
0.124841,10059912,1676652,8,dblp-2010.mtx
0.136157,10059912,1676652,8,dblp-2010.mtx
0.123576,10059912,1676652,16,dblp-2010.mtx
0.107129,10059912,1676652,16,dblp-2010.mtx
0.115387,10059912,1676652,16,dblp-2010.mtx
0.117537,10059912,1676652,32,dblp-2010.mtx
0.118400,10059912,1676652,32,dblp-2010.mtx
0.101815,10059912,1676652,32,dblp-2010.mtx
0.115256,10059912,1676652,64,dblp-2010.mtx
0.103838,10059912,1676652,64,dblp-2010.mtx
0.102286,10059912,1676652,64,dblp-2010.mtx
0.105297,10059912,1676652,256,dblp-2010.mtx
0.099261,10059912,1676652,256,dblp-2010.mtx
0.109528,10059912,1676652,256,dblp-2010.mtx
0.152357,10059912,1676652,1024,dblp-2010.mtx
0.132025,10059912,1676652,1024,dblp-2010.mtx
0.119480,10059912,1676652,1024,dblp-2010.mtx
64.340737,0,0,1,mycielskian13.mtx
65.086958,0,0,1,mycielskian13.mtx
64.354083,0,0,1,mycielskian13.mtx
49.281642,0,0,2,mycielskian13.mtx
49.580396,0,0,2,mycielskian13.mtx
49.541309,0,0,2,mycielskian13.mtx
38.651531,0,0,4,mycielskian13.mtx
39.852038,0,0,4,mycielskian13.mtx
40.997261,0,0,4,mycielskian13.mtx
32.860060,0,0,8,mycielskian13.mtx
33.092194,0,0,8,mycielskian13.mtx
32.931860,0,0,8,mycielskian13.mtx
27.837917,0,0,16,mycielskian13.mtx
28.295885,0,0,16,mycielskian13.mtx
27.799645,0,0,16,mycielskian13.mtx
24.555548,0,0,32,mycielskian13.mtx
25.029511,0,0,32,mycielskian13.mtx
26.056971,0,0,32,mycielskian13.mtx
22.399918,0,0,64,mycielskian13.mtx
22.403675,0,0,64,mycielskian13.mtx
22.529798,0,0,64,mycielskian13.mtx
19.577488,0,0,256,mycielskian13.mtx
19.430862,0,0,256,mycielskian13.mtx
19.653194,0,0,256,mycielskian13.mtx
18.260981,0,0,1024,mycielskian13.mtx
18.331229,0,0,1024,mycielskian13.mtx
20.655263,0,0,1024,mycielskian13.mtx
0.619160,12453810,2075635,1,NACA0015.mtx
0.657216,12453810,2075635,1,NACA0015.mtx
0.632665,12453810,2075635,1,NACA0015.mtx
0.384706,12453810,2075635,2,NACA0015.mtx
0.308997,12453810,2075635,2,NACA0015.mtx
0.319372,12453810,2075635,2,NACA0015.mtx
0.171409,12453810,2075635,4,NACA0015.mtx
0.184225,12453810,2075635,4,NACA0015.mtx
0.214815,12453810,2075635,4,NACA0015.mtx
0.104539,12453810,2075635,8,NACA0015.mtx
0.104333,12453810,2075635,8,NACA0015.mtx
0.102438,12453810,2075635,8,NACA0015.mtx
0.109448,12453810,2075635,16,NACA0015.mtx
0.104733,12453810,2075635,16,NACA0015.mtx
0.100941,12453810,2075635,16,NACA0015.mtx
0.109734,12453810,2075635,32,NACA0015.mtx
0.112889,12453810,2075635,32,NACA0015.mtx
0.106848,12453810,2075635,32,NACA0015.mtx
0.110907,12453810,2075635,64,NACA0015.mtx
0.111718,12453810,2075635,64,NACA0015.mtx
0.105419,12453810,2075635,64,NACA0015.mtx
0.111153,12453810,2075635,256,NACA0015.mtx
0.121855,12453810,2075635,256,NACA0015.mtx
0.118482,12453810,2075635,256,NACA0015.mtx
0.158289,12453810,2075635,1024,NACA0015.mtx
0.149694,12453810,2075635,1024,NACA0015.mtx
0.140699,12453810,2075635,1024,NACA0015.mtx
