time,sum,num of triangles,threads,matrix,Method
0.043457,14520,2420,1,belgium_osm.mtx,Pthreads
0.041927,14520,2420,1,belgium_osm.mtx,Pthreads
0.04488,14520,2420,1,belgium_osm.mtx,Pthreads
0.025146,14520,2420,2,belgium_osm.mtx,Pthreads
0.028555,14520,2420,2,belgium_osm.mtx,Pthreads
0.025002,14520,2420,2,belgium_osm.mtx,Pthreads
0.017626,14520,2420,4,belgium_osm.mtx,Pthreads
0.014611,14520,2420,4,belgium_osm.mtx,Pthreads
0.017815,14520,2420,4,belgium_osm.mtx,Pthreads
0.011096,14520,2420,8,belgium_osm.mtx,Pthreads
0.010143,14520,2420,8,belgium_osm.mtx,Pthreads
0.010181,14520,2420,8,belgium_osm.mtx,Pthreads
0.011036,14520,2420,16,belgium_osm.mtx,Pthreads
0.012998,14520,2420,16,belgium_osm.mtx,Pthreads
0.013576,14520,2420,16,belgium_osm.mtx,Pthreads
0.011985,14520,2420,32,belgium_osm.mtx,Pthreads
0.0132,14520,2420,32,belgium_osm.mtx,Pthreads
0.012206,14520,2420,32,belgium_osm.mtx,Pthreads
0.010016,14520,2420,64,belgium_osm.mtx,Pthreads
0.010039,14520,2420,64,belgium_osm.mtx,Pthreads
0.009949,14520,2420,64,belgium_osm.mtx,Pthreads
0.013099,14520,2420,256,belgium_osm.mtx,Pthreads
0.014195,14520,2420,256,belgium_osm.mtx,Pthreads
0.013584,14520,2420,256,belgium_osm.mtx,Pthreads
0.044369,14520,2420,1024,belgium_osm.mtx,Pthreads
0.049217,14520,2420,1024,belgium_osm.mtx,Pthreads
0.050815,14520,2420,1024,belgium_osm.mtx,Pthreads
94.62099,18338316,3056386,1,com-Youtube.mtx,Pthreads
95.148882,18338316,3056386,1,com-Youtube.mtx,Pthreads
95.908113,18338316,3056386,1,com-Youtube.mtx,Pthreads
91.501271,18338316,3056386,2,com-Youtube.mtx,Pthreads
91.084329,18338316,3056386,2,com-Youtube.mtx,Pthreads
91.333203,18338316,3056386,2,com-Youtube.mtx,Pthreads
89.959998,18338316,3056386,4,com-Youtube.mtx,Pthreads
89.716418,18338316,3056386,4,com-Youtube.mtx,Pthreads
91.044648,18338316,3056386,4,com-Youtube.mtx,Pthreads
84.933822,18338316,3056386,8,com-Youtube.mtx,Pthreads
84.759952,18338316,3056386,8,com-Youtube.mtx,Pthreads
85.707284,18338316,3056386,8,com-Youtube.mtx,Pthreads
73.680838,18338316,3056386,16,com-Youtube.mtx,Pthreads
72.983182,18338316,3056386,16,com-Youtube.mtx,Pthreads
74.453697,18338316,3056386,16,com-Youtube.mtx,Pthreads
71.494617,18338316,3056386,32,com-Youtube.mtx,Pthreads
70.024056,18338316,3056386,32,com-Youtube.mtx,Pthreads
69.890572,18338316,3056386,32,com-Youtube.mtx,Pthreads
62.815929,18338316,3056386,64,com-Youtube.mtx,Pthreads
62.363063,18338316,3056386,64,com-Youtube.mtx,Pthreads
61.617115,18338316,3056386,64,com-Youtube.mtx,Pthreads
54.142783,18338316,3056386,256,com-Youtube.mtx,Pthreads
54.331771,18338316,3056386,256,com-Youtube.mtx,Pthreads
53.60455,18338316,3056386,256,com-Youtube.mtx,Pthreads
44.24775,18338316,3056386,1024,com-Youtube.mtx,Pthreads
44.490657,18338316,3056386,1024,com-Youtube.mtx,Pthreads
43.179206,18338316,3056386,1024,com-Youtube.mtx,Pthreads
0.693799,10059912,1676652,1,dblp-2010.mtx,Pthreads
0.648268,10059912,1676652,1,dblp-2010.mtx,Pthreads
0.648398,10059912,1676652,1,dblp-2010.mtx,Pthreads
0.956309,10059912,1676652,2,dblp-2010.mtx,Pthreads
0.959441,10059912,1676652,2,dblp-2010.mtx,Pthreads
0.946657,10059912,1676652,2,dblp-2010.mtx,Pthreads
0.997281,10059912,1676652,4,dblp-2010.mtx,Pthreads
0.987017,10059912,1676652,4,dblp-2010.mtx,Pthreads
0.996285,10059912,1676652,4,dblp-2010.mtx,Pthreads
1.182965,10059912,1676652,8,dblp-2010.mtx,Pthreads
1.195486,10059912,1676652,8,dblp-2010.mtx,Pthreads
1.176802,10059912,1676652,8,dblp-2010.mtx,Pthreads
1.310871,10059912,1676652,16,dblp-2010.mtx,Pthreads
1.307569,10059912,1676652,16,dblp-2010.mtx,Pthreads
1.306812,10059912,1676652,16,dblp-2010.mtx,Pthreads
1.293864,10059912,1676652,32,dblp-2010.mtx,Pthreads
1.29409,10059912,1676652,32,dblp-2010.mtx,Pthreads
1.281549,10059912,1676652,32,dblp-2010.mtx,Pthreads
1.293375,10059912,1676652,64,dblp-2010.mtx,Pthreads
1.291975,10059912,1676652,64,dblp-2010.mtx,Pthreads
1.314514,10059912,1676652,64,dblp-2010.mtx,Pthreads
1.342566,10059912,1676652,256,dblp-2010.mtx,Pthreads
1.343646,10059912,1676652,256,dblp-2010.mtx,Pthreads
1.357373,10059912,1676652,256,dblp-2010.mtx,Pthreads
1.399825,10059912,1676652,1024,dblp-2010.mtx,Pthreads
1.383326,10059912,1676652,1024,dblp-2010.mtx,Pthreads
1.386539,10059912,1676652,1024,dblp-2010.mtx,Pthreads
71.208151,0,0,1,mycielskian13.mtx,Pthreads
71.384624,0,0,1,mycielskian13.mtx,Pthreads
71.343521,0,0,1,mycielskian13.mtx,Pthreads
54.996972,0,0,2,mycielskian13.mtx,Pthreads
54.443035,0,0,2,mycielskian13.mtx,Pthreads
54.85739,0,0,2,mycielskian13.mtx,Pthreads
41.84813,0,0,4,mycielskian13.mtx,Pthreads
42.347809,0,0,4,mycielskian13.mtx,Pthreads
44.28661,0,0,4,mycielskian13.mtx,Pthreads
36.058416,0,0,8,mycielskian13.mtx,Pthreads
34.97419,0,0,8,mycielskian13.mtx,Pthreads
35.241548,0,0,8,mycielskian13.mtx,Pthreads
29.032776,0,0,16,mycielskian13.mtx,Pthreads
29.090782,0,0,16,mycielskian13.mtx,Pthreads
29.441496,0,0,16,mycielskian13.mtx,Pthreads
25.954821,0,0,32,mycielskian13.mtx,Pthreads
25.719031,0,0,32,mycielskian13.mtx,Pthreads
25.722586,0,0,32,mycielskian13.mtx,Pthreads
23.267511,0,0,64,mycielskian13.mtx,Pthreads
22.96178,0,0,64,mycielskian13.mtx,Pthreads
23.121338,0,0,64,mycielskian13.mtx,Pthreads
20.315879,0,0,256,mycielskian13.mtx,Pthreads
20.066896,0,0,256,mycielskian13.mtx,Pthreads
20.090436,0,0,256,mycielskian13.mtx,Pthreads
18.520716,0,0,1024,mycielskian13.mtx,Pthreads
18.487125,0,0,1024,mycielskian13.mtx,Pthreads
18.451589,0,0,1024,mycielskian13.mtx,Pthreads
0.956666,12453810,2075635,1,NACA0015.mtx,Pthreads
0.943301,12453810,2075635,1,NACA0015.mtx,Pthreads
0.953764,12453810,2075635,1,NACA0015.mtx,Pthreads
1.43251,12453810,2075635,2,NACA0015.mtx,Pthreads
1.415504,12453810,2075635,2,NACA0015.mtx,Pthreads
1.44026,12453810,2075635,2,NACA0015.mtx,Pthreads
1.525076,12453810,2075635,4,NACA0015.mtx,Pthreads
1.555933,12453810,2075635,4,NACA0015.mtx,Pthreads
1.523866,12453810,2075635,4,NACA0015.mtx,Pthreads
1.80023,12453810,2075635,8,NACA0015.mtx,Pthreads
1.810926,12453810,2075635,8,NACA0015.mtx,Pthreads
1.794014,12453810,2075635,8,NACA0015.mtx,Pthreads
1.810551,12453810,2075635,16,NACA0015.mtx,Pthreads
1.830066,12453810,2075635,16,NACA0015.mtx,Pthreads
1.814131,12453810,2075635,16,NACA0015.mtx,Pthreads
1.777236,12453810,2075635,32,NACA0015.mtx,Pthreads
1.799598,12453810,2075635,32,NACA0015.mtx,Pthreads
1.78015,12453810,2075635,32,NACA0015.mtx,Pthreads
1.797282,12453810,2075635,64,NACA0015.mtx,Pthreads
1.808141,12453810,2075635,64,NACA0015.mtx,Pthreads
1.79191,12453810,2075635,64,NACA0015.mtx,Pthreads
1.894273,12453810,2075635,256,NACA0015.mtx,Pthreads
1.871815,12453810,2075635,256,NACA0015.mtx,Pthreads
1.896683,12453810,2075635,256,NACA0015.mtx,Pthreads
1.939468,12453810,2075635,1024,NACA0015.mtx,Pthreads
1.947966,12453810,2075635,1024,NACA0015.mtx,Pthreads
1.97241,12453810,2075635,1024,NACA0015.mtx,Pthreads
